,mapper1,mapper2,Unnamed: 0,weight,avgDistance
381,lowenz,naturinda,1045,1,0.00129430792966846
382,lowenz,siima,1046,1,0.00107608205986169
383,maddyrich,premson,1047,1,0.0015149708738241199
384,manirakiza moses,nababi tracy,1048,1,0.00783084221383472
385,manirakiza moses,naturinda,1049,1,0.00171017421026419
386,manirakiza moses,siima,1050,1,0.0010705655221543199
387,markusauers,nabulo carol,1051,1,0.001094394541194
388,markusauers,patrick etomet,1052,1,0.0031510565474750602
389,markusauers,tomm4,1053,1,0.00105430063455942
390,mconant,naturinda,1054,1,0.00110174779416789
391,michael montani,nabulo carol,2111,2,0.0026899756376317797
392,michael montani,siima,1057,1,0.00122452157285367
393,mikew1123,nawinecoff,1058,1,0.00110021850660291
394,mikew1123,smart d,1059,1,0.00156170663281926
395,mikew1123,solution oriented,2121,2,0.0030742398342934302
396,mugabi henry,nababi tracy,1062,1,0.00425196189814458
397,mugabi henry,naturinda,1063,1,0.0771251839566459
398,musawo,nababi tracy,1064,1,0.0011143038384892599
399,mwesigwa irene,tars4815,1065,1,0.007352889423046091
400,nababi tracy,naturinda,7483,7,0.01960062574278657
401,nababi tracy,prosper1994,6453,6,0.01324369860938001
402,nababi tracy,richard dalmat,1079,1,0.0010518869994014198
403,nababi tracy,siima,8668,8,0.013866647937050279
404,nababi tracy,tars4815,2177,2,0.00428312885858974
405,nabulo carol,naturinda,14248,13,0.024328494928333128
406,nabulo carol,netondo,1103,1,0.0010265376033385901
407,nabulo carol,pkodame,2209,2,0.02439233997953607
408,nabulo carol,prosper1994,6651,6,0.00965764998584375
409,nabulo carol,shamillah,3339,3,0.00781803243968006
410,nabulo carol,siima,14573,13,0.04040268183208519
411,nabulo carol,tars4815,2257,2,0.00418229193082271
412,namu derrico,prosper1994,1130,1,0.00136661341217046
413,namu derrico,yusuf hamba,1131,1,0.00248591461838296
414,naturinda,nawinecoff,1132,1,0.00382425765608831
415,naturinda,okwang stephen,1133,1,0.00123208893645905
416,naturinda,patrick etomet,1134,1,0.00106577291364728
417,naturinda,prosper1994,1135,1,0.00213121795350763
418,naturinda,shamillah,1136,1,0.00121121340931159
419,naturinda,tars4815,3414,3,0.006689140978959189
420,nawinecoff,wisniewskin,1140,1,0.0010419998654512801
421,nelsonoaks,wisniewskin,2283,2,0.0054408421637559806
422,netondo,tukei,1143,1,0.0018349950965901101
423,olatubosun,tomm4,1144,1,0.00115179676791984
424,olatubosun,usefulness,2291,2,0.00402274084532979
425,osm ebenezer,prosper1994,1147,1,0.00277621661373976
426,patrick etomet,pluna1,1148,1,0.0014541525732307
427,patrick etomet,siima,2299,2,0.022494051942012098
428,patrick etomet,wisniewskin,1151,1,0.00106444070686208
429,pluna1,smart d,1152,1,0.00164070357596058
430,pluna1,tomm4,1153,1,0.00100209866110341
431,prosper1994,siima,3465,3,0.00614422808230675
432,prosper1994,tars4815,2315,2,0.00375391466567262
433,prosper1994,vickiemorine,2319,2,0.00416816887075857
434,rcampbe1,solution oriented,1161,1,0.00111375238309729
435,ryanleethomas,tomm4,2325,2,0.00257806796915969
436,salami haruna olalekan,wisniewskin,1164,1,0.0019450088978008
437,seancurran,tomm4,1165,1,0.00151004249921877
438,sekcore,yukiejiang,1166,1,0.00148204578227455
439,shamillah,tukei,1167,1,0.0015041032905808301
440,shamillah,vickiemorine,1168,1,0.00105286341694066
441,siima,tars4815,2339,2,0.00303805149291023
442,smart d,wisniewskin,9396,8,0.016514737404108207
443,solution oriented,wisniewskin,13024,11,0.017476616735884607
444,solution oriented,yukiejiang,1190,1,0.00601649985046855
445,tupero,wisniewskin,1191,1,0.0028878541842511604
